A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
1,44.0,110.0,2,9,4,42.0,1,0,1.0,0,1,38.0,1.0,1
1,79.0,87.0,2,8,5,7.0,1,0,1.0,1,2,53.0,1.0,1
1,207.0,15.0,1,9,4,8.0,0,0,1.0,1,2,104.0,3.0,0
0,256.0,52.0,1,8,4,1.0,0,0,1.0,1,2,49.0,2.0,0
1,83.0,29.0,2,3,8,3.0,0,0,1.0,1,2,77.0,6.0,0
0,205.0,33.0,2,8,4,47.0,1,1,12.0,0,2,1.0,111.0,1
1,236.0,102.0,2,1,1,1.0,0,1,3.0,0,2,2.0,2.0,0
0,32.0,93.0,1,8,8,65.0,1,0,1.0,0,2,86.0,1.0,1
1,120.0,21.0,2,6,4,12.0,1,0,1.0,1,2,69.0,1.0,0
1,174.0,73.0,2,2,4,5.0,0,0,1.0,1,2,38.0,1.0,0
1,37.0,46.0,1,13,4,47.0,1,0,1.0,1,2,32.0,21.0,0
0,71.0,162.0,2,11,4,11.0,1,1,6.0,1,2,1.0,120.0,1
1,238.0,118.0,2,11,4,2.0,1,1,2.0,0,2,69.0,94.0,1
